"name","born","died","borncountry","borncity","bornlong","bornlat","diedcountry","diedcity","diedlong","diedlat","gender","year","category","motivation","institutionname","institutioncity","institutioncountry"
"Ilja Mikhailovich Frank","1908-10-23","1990-06-22","Russia","Leningrad (now Saint Petersburg)",30.3350986,59.9342802,"USSR (now Russia)","Moscow",37.6172999,55.755826,"male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect""","University of Moscow","Moscow","USSR"
"Ilja Mikhailovich Frank","1908-10-23","1990-06-22","Russia","Leningrad (now Saint Petersburg)",30.3350986,59.9342802,"USSR (now Russia)","Moscow",37.6172999,55.755826,"male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect""","P.N. Lebedev Physical Institute","Moscow","USSR"
"Pyotr Leonidovich Kapitsa","1894-07-09","1984-04-08","Russian Empire (now Russia)","Kronshtadt",29.7655453,59.9959303,"USSR (now Russia)","Moscow",37.6172999,55.755826,"male",1978,"physics","""for his basic inventions and discoveries in the area of low-temperature physics""","Academy of Sciences","Moscow","USSR"
"Leonid Vitaliyevich Kantorovich","1912-01-19","1986-04-07","Russian Empire (now Russia)","St. Petersburg",30.3350986,59.9342802,"USSR (now Russia)","Moscow",37.6172999,55.755826,"male",1975,"economics","""for their contributions to the theory of optimum allocation of resources""","Academy of Sciences","Moscow","USSR"
"Lev Davidovich Landau","1908-01-22","1968-04-01","Russian Empire (now Azerbaijan)","Baku",49.8670924,40.4092617,"USSR (now Russia)","Moscow",37.6172999,55.755826,"male",1962,"physics","""for his pioneering theories for condensed matter, especially liquid helium""","Academy of Sciences","Moscow","USSR"
"Igor Yevgenyevich Tamm","1895-07-08","1971-04-12","Russia","Vladivostok",131.8869243,43.1198091,"USSR (now Russia)","Moscow",37.6172999,55.755826,"male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect""","University of Moscow","Moscow","USSR"
"Igor Yevgenyevich Tamm","1895-07-08","1971-04-12","Russia","Vladivostok",131.8869243,43.1198091,"USSR (now Russia)","Moscow",37.6172999,55.755826,"male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect""","P.N. Lebedev Physical Institute","Moscow","USSR"
"Max Born","1882-12-11","1970-01-05","Germany (now Poland)","Breslau (now Wroclaw)",17.0385376,51.1078852,"West Germany (now Germany)","Gottingen",9.9158035,51.5412804,"male",1954,"physics","""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""","Edinburgh University","Edinburgh","United Kingdom"
"Kurt Alder","1902-07-10","1958-06-20","Prussia (now Poland)","Konigshutte (now Chorzow)",18.9545728,50.2974884,"West Germany (now Germany)","Cologne",6.9602786,50.937531,"male",1950,"chemistry","""for their discovery and development of the diene synthesis""","Cologne University","Cologne","Federal Republic of Germany"
"Gerhard Domagk","1895-10-30","1964-04-24","Germany (now Poland)","Lagow",15.2968448,52.3330797,"West Germany (now Germany)","Burgberg",10.2850734,47.5376846,"male",1939,"medicine","""for the discovery of the antibacterial effects of prontosil""","Munster University","Munster","Germany"
"George de Hevesy","1885-08-01","1966-07-05","Austria-Hungary (now Hungary)","Budapest",19.040235,47.497912,"West Germany (now Germany)","Freiburg im Breisgau",7.8421043,47.9990077,"male",1943,"chemistry","""for his work on the use of isotopes as tracers in the study of chemical processes""","Stockholm University","Stockholm","Sweden"
"Max Karl Ernst Ludwig Planck","1858-04-23","1947-10-04","Schleswig (now Germany)","Kiel",10.1227651,54.3232927,"West Germany (now Germany)","Gottingen",9.9158035,51.5412804,"male",1918,"physics","""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""","Berlin University","Berlin","Germany"
"Richard Kuhn","1900-12-03","1967-07-31","Austria-Hungary (now Austria)","Vienna",16.3738189,48.2081743,"West Germany (now Germany)","Heidelberg",8.6724335,49.3987524,"male",1938,"chemistry","""for his work on carotenoids and vitamins""","Kaiser-Wilhelm-Institut (now Max-Planck Institut) fur Medizinische Forschung","Heidelberg","Germany"
"Richard Kuhn","1900-12-03","1967-07-31","Austria-Hungary (now Austria)","Vienna",16.3738189,48.2081743,"West Germany (now Germany)","Heidelberg",8.6724335,49.3987524,"male",1938,"chemistry","""for his work on carotenoids and vitamins""","University of Heidelberg","Heidelberg","Germany"
"Max von Laue","1879-10-09","1960-04-23","Germany","Pfaffendorf",14.0748638,50.911275,"West Germany (now Germany)","Berlin",13.404954,52.5200066,"male",1914,"physics","""for his discovery of the diffraction of X-rays by crystals""","Frankfurt-on-the-Main University","Frankfurt-on-the-Main","Germany"
